Dt-Proce;Dt-Inicio;Dt-Fim;Nome;Tarifa;Cidade;Identifica;Avaliações;Nota;Estrelas;Propriedade;Funcionários;Comodidades;Limpeza;Conforto;Relação Qualidade/Preço;Localização;Wifi;Travel-Proud;Sustentabilidade;Tipo;Latitude;Longitude
06/02/2026;29/08/2026;30/08/2026;América Executive Apart Hotel Campos;R$ 268;Campos dos Goytacazes;Teste;33;9,6;4;Privado;9,8;9,8;9,8;9,6;9,8;9,8;10,0;N;N;Apartamento;-21.754764094051716;-41.339211942736014
06/02/2026;29/08/2026;30/08/2026;Flat Confortável;R$ 180;Campos dos Goytacazes;Teste;11;8,8;4;Privado;9,3;8,2;8,5;8,9;8,6;8,1;0.0;N;N;Apartamento;-21.765355888453993;-41.32825996023564
06/02/2026;29/08/2026;30/08/2026;Apartamento Gaia;R$ 450;Campos dos Goytacazes;Teste;14;7,0;3;Privado;7,4;7,8;7,8;7,8;7,8;8,1;0.0;N;N;Apartamento;-21.77280017344628;-41.280580894040924
06/02/2026;29/08/2026;30/08/2026;Parque Jockey Campos;R$ 210;Campos dos Goytacazes;Teste;4;7,2;3;Privado;5,6;7,5;8,1;6,9;6,9;8,7;0.0;N;N;Apartamento;-21.757863;-41.245261
06/02/2026;29/08/2026;30/08/2026;Apto Raimundo de Farias 289;R$ 100;Campos dos Goytacazes;Teste;5;7,6;3;Privado;8,0;7,5;7,5;7,0;7,0;8,0;0.0;N;N;Apartamento;-21.7635228;-41.3531341
06/02/2026;29/08/2026;30/08/2026;Apto Richard Shopping;R$ 225;Campos dos Goytacazes;Teste;16;6,9;3;Privado;6,8;7,3;6,4;6,9;7,3;7,7;8,3;N;N;Apartamento;-21.757266596539225;-41.350212011947626
06/02/2026;29/08/2026;30/08/2026;Apto Ester Onizz;R$ 172;Campos dos Goytacazes;Teste;9;7,5;3;Privado;9,4;7,9;8,4;8,4;8,5;8,4;0.0;N;N;Apartamento;-21.764749;-41.353202
06/02/2026;29/08/2026;30/08/2026;Tulip Inn Campos dos Goytacazes;R$ 308;Parque Leopoldina, Campos dos Goytacazes;Teste;1;8,6;3;Hotel;9,1;8,5;8,8;8,8;9,2;8,4;7,7;S;N;Hotel;-21.7564822;-41.34815249999997
06/02/2026;29/08/2026;30/08/2026;Flat Aconchegante;R$ 180;Campos dos Goytacazes;Teste;21;7,9;4;Privado;8,8;8,0;7,9;7,9;9,5;7,7;0.0;N;N;Apartamento;-21.765335623783827;-41.32815413862305
06/02/2026;29/08/2026;30/08/2026;Flat centro - Via Park;R$ 180;Campos dos Goytacazes;Teste;47;8,7;4;Privado;9,0;8,6;8,8;8,7;9,5;8,6;9,4;N;N;Apartamento;-21.7651526;-41.3282876
06/02/2026;29/08/2026;30/08/2026;Flat aconchegante e tranquilo;R$ 108;Campos dos Goytacazes;Teste;6;7,3;Sem Classificação;Privado;7,9;7,1;7,5;7,1;8,8;6,7;0.0;N;N;Apartamento;-21.7618869;-41.3207623
06/02/2026;29/08/2026;30/08/2026;Flat ViaPark9;R$ 170;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.7663242;-41.3253111
06/02/2026;29/08/2026;30/08/2026;AGUA MAIS;R$ 248;Campos dos Goytacazes;Teste;6;8,0;3;Privado;7,5;8,0;7,5;7,5;7,5;8,0;0.0;N;N;Apartamento;-21.764768;-41.354636
06/02/2026;29/08/2026;30/08/2026;GoldMen Express Campos Goycatazes;R$ 248;Campos dos Goytacazes;Teste;36;8,0;3;Hotel;8,6;7,9;8,7;8,4;8,7;8,3;0.0;N;N;Hotel;-21.7613325;-41.3238378
06/02/2026;29/08/2026;30/08/2026;Apartamento Aconchegante;R$ 170;Campos dos Goytacazes;Teste;1;8,0;Sem Classificação;Privado;10,0;7,5;7,5;7,5;10,0;7,5;0.0;N;N;Apartamento;-21.7651526;-41.3282876
06/02/2026;29/08/2026;30/08/2026;Flat Aconchegante e Tranquilo;R$ 97;Campos dos Goytacazes;Teste;7;8,3;Sem Classificação;Privado;9,2;8,0;8,7;6,9;8,9;8,7;0.0;N;N;Apartamento;-21.7614561;-41.3167841
06/02/2026;29/08/2026;30/08/2026;LUXO E CONFORTO NO CENTRO;R$ 400;Campos dos Goytacazes;Teste;103;7,8;4;Privado;8,0;8,2;8,2;8,0;9,1;8,0;8,7;N;N;Apartamento;-21.75534142051996;-41.32768235830116
06/02/2026;29/08/2026;30/08/2026;Casa 4;R$ 195;Campos dos Goytacazes;Teste;10;7,4;3;Privado;7,1;7,0;7,4;7,9;7,0;7,9;0.0;N;N;temporada;-21.757863;-41.245261
06/02/2026;29/08/2026;30/08/2026;Flat Temporada Centro da Cidade;R$ 157;Campos dos Goytacazes;Teste;3;8,3;Sem Classificação;Privado;9,2;9,2;8,3;9,2;10,0;10,0;0.0;N;N;Apartamento;-21.7640409;-41.3250024
06/02/2026;29/08/2026;30/08/2026;Transamerica Executive Campos dos Goytacazes;R$ 378;Parque Leopoldina, Campos dos Goytacazes;Teste;623;8,8;4;Hotel;9,0;8,8;9,0;8,9;9,2;8,5;8,9;S;N;Hotel;-21.754660016287442;-41.33968564031983
06/02/2026;29/08/2026;30/08/2026;Flat ViaPark7;R$ 170;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.7663242;-41.3253111
06/02/2026;29/08/2026;30/08/2026;Apto condomínio Ônix;R$ 192;Campos dos Goytacazes;Teste;21;9,7;Sem Classificação;Privado;9,4;9,6;9,7;9,6;9,3;9,6;7,5;N;N;Apartamento;-21.7643076;-41.3529943
06/02/2026;29/08/2026;30/08/2026;flat esdutios aconchegante;R$ 135;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.7637851876792;-41.3207258360475
06/02/2026;29/08/2026;30/08/2026;studio estilo industrial Centro;R$ 153;Campos dos Goytacazes;Teste;2;5,5;Sem Classificação;Privado;6,3;5,0;6,3;10,0;7,5;10,0;0.0;N;N;Apartamento;-21.7619166498406;-41.3205482687401
06/02/2026;29/08/2026;30/08/2026;Apart Hotel - Campos dos Goytacazes;R$ 238;Parque Leopoldina, Campos dos Goytacazes;Teste;251;9,1;4;Privado;9,3;9,2;9,1;9,0;9,7;9,1;8,5;N;N;Apartamento;-21.754945;-41.339532
06/02/2026;29/08/2026;30/08/2026;Via Park HOTEL Centro;R$ 170;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.765216055962554;-41.32829361349182
06/02/2026;29/08/2026;30/08/2026;Comodidade ViaPark;R$ 180;Campos dos Goytacazes;Teste;36;9,2;4;Privado;8,9;8,7;8,9;8,7;9,5;9,0;10,0;N;N;Apartamento;-21.7651762;-41.3283258
06/02/2026;29/08/2026;30/08/2026;Apto guarus;R$ 144;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.737697;-41.3070757
06/02/2026;29/08/2026;30/08/2026;Pousada Bem Estar Offshore;R$ 280;Campos dos Goytacazes;Teste;45;8,1;Sem Classificação;Hotel;8,9;7,8;8,2;7,8;8,7;7,3;9,4;S;N;Hotel;-22.0407836;-41.0469067
06/02/2026;29/08/2026;30/08/2026;Flat temporada;R$ 152;Campos dos Goytacazes;Teste;28;9,6;Sem Classificação;Privado;9,2;9,6;9,7;9,5;9,8;9,4;9,5;N;N;Apartamento;-21.7634014;-41.3274829
06/02/2026;29/08/2026;30/08/2026;Flat ViaPark4;R$ 170;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.7663242;-41.3253111
06/02/2026;29/08/2026;30/08/2026;Apartamento ao lado Shopping;R$ 500;Campos dos Goytacazes;Teste;8;7,8;3;Privado;7,5;8,0;8,0;8,4;8,0;8,0;7,5;N;N;Apartamento;-21.757137;-41.348478
06/02/2026;29/08/2026;30/08/2026;Hotel hawaii;R$ 300;Campos dos Goytacazes;Teste;103;6,9;2;Hotel;8,1;6,9;7,2;6,8;8,6;7,6;6,0;N;N;Hotel;-21.759865;-41.325228
06/02/2026;29/08/2026;30/08/2026;Apartamento 1 quarto Edifício Ipanema Residence;R$ 414;Campos dos Goytacazes;Teste;9;10;3;Privado;10,0;10,0;10,0;10,0;10,0;10,0;0.0;N;N;Apartamento;-21.7547633;-41.3362602
06/02/2026;29/08/2026;30/08/2026;Apto JOSENINOS;R$ 150;Campos dos Goytacazes;Teste;5;6,6;3;Privado;8,0;7,0;7,5;6,5;9,0;7,0;0.0;N;N;Apartamento;-21.76194655558278;-41.3259768175869
06/02/2026;29/08/2026;30/08/2026;Apartamento no Centro;R$ 81;Campos dos Goytacazes;Teste;14;7,6;3;Privado;7,7;7,3;7,5;7,9;9,2;8,4;0.0;N;N;Apartamento;-21.7618869;-41.3207623
06/02/2026;29/08/2026;30/08/2026;Apto Antunes terreo;R$ 140;Campos dos Goytacazes;Teste;7;4,4;Sem Classificação;Privado;6,5;5,0;4,5;5,0;6,5;5,0;7,5;N;N;Apartamento;-21.762354;-41.326188
06/02/2026;29/08/2026;30/08/2026;Comfort Hotel Campos dos Goytacazes;R$ 347;Campos dos Goytacazes;Teste;204;8,9;3;Hotel;9,4;8,7;9,1;9,1;9,1;8,4;8,4;S;N;Hotel;-21.764456927208183;-41.33201479911804
