Dt-Proce;Dt-Inicio;Dt-Fim;Nome;Tarifa;Cidade;Identifica;Avaliações;Nota;Estrelas;Propriedade;Funcionários;Comodidades;Limpeza;Conforto;Relação Qualidade/Preço;Localização;Wifi;Travel-Proud;Sustentabilidade;Tipo;Latitude;Longitude
04/12/2025;22/12/2025;23/12/2025;Nalevaiko- Apartamento próximo do centro;R$ 388;Sinop;Diaria;3;9,7;3;Privado;9,2;8,3;9,2;9,2;9,2;9,2;0.0;N;N;Apartamento;-11.8567336;-55.5287111
04/12/2025;22/12/2025;23/12/2025;Apart Aconchego Mobiliado Centro;R$ 289;Sinop;Diaria;64;9,5;3;Privado;9,9;9,6;9,9;9,7;9,8;9,8;8,8;N;N;Apartamento;-11.8489143;-55.5142387
04/12/2025;22/12/2025;23/12/2025;Apartamento minutos do Centro;R$ 486;Sinop;Diaria;10;10;3;Privado;9,7;9,7;9,7;9,7;9,7;9,7;0.0;N;N;Apartamento;-11.8567555986515;-55.528607086874
04/12/2025;22/12/2025;23/12/2025;Apartamento individual Sinop 11;R$ 160;Sinop;Diaria;2;10;3;Privado;10,0;10,0;10,0;10,0;10,0;10,0;0.0;N;N;Apartamento;-11.8336584;-55.4954518
04/12/2025;22/12/2025;23/12/2025;top residencial 2;R$ 136;Sinop;Diaria;14;9,4;3;Privado;9,7;9,8;9,2;9,5;9,7;9,7;5,0;N;N;Apartamento;-11.836567490545;-55.534270254232
04/12/2025;22/12/2025;23/12/2025;Lofts completos em Sinop MT;R$ 424;Sinop;Diaria;12;9,9;3;Hotel;10,0;10,0;9,8;9,8;10,0;10,0;10,0;N;N;Apartamento;-11.8763865;-55.5093213
04/12/2025;22/12/2025;23/12/2025;Casa Sinop;R$ 470;Sinop;Diaria;5;9,6;3;Privado;9,0;9,5;9,5;9,5;9,0;9,0;0.0;N;N;temporada;-11.865152;-55.523219
04/12/2025;22/12/2025;23/12/2025;VivaVida Imperial 104;R$ 245;Sinop;Diaria;14;9,7;3;Privado;9,8;9,8;10,0;9,6;9,8;9,8;0.0;N;N;Apartamento;-11.8424461;-55.5146035
04/12/2025;22/12/2025;23/12/2025;Apto entrada individual 1;R$ 145;Sinop;Diaria;7;8,8;3;Privado;8,9;8,2;8,9;7,8;9,3;8,2;0.0;N;N;Apartamento;-11.8393043;-55.5373369
04/12/2025;22/12/2025;23/12/2025;Pousada Parque do Lago;R$ 208;Sinop;Diaria;121;8,7;3;Privado;8,8;8,8;8,8;8,9;7,4;8,8;8,7;N;N;Apart-hotel;-11.8497208232633;-55.5632891734917
04/12/2025;22/12/2025;23/12/2025;Hotel Jatobás Sinop;R$ 176;Sinop;Diaria;11;8,9;3;Privado;9,3;9,3;9,3;8,6;9,1;8,9;0.0;N;N;Hotel;-11.8817914;-55.5037509
04/12/2025;22/12/2025;23/12/2025;Residencial Antônio Floriza;R$ 219;Sinop;Diaria;3;9,7;3;Privado;9,2;10,0;10,0;10,0;10,0;9,2;0.0;N;N;Apartamento;-11.8350784;-55.4970366
04/12/2025;22/12/2025;23/12/2025;Residencial Málaga 02;R$ 264;Sinop;Diaria;31;9,2;3;Privado;9,4;9,1;9,2;9,4;7,7;9,1;8,7;N;N;Apartamento;-11.896381531345183;-55.47763197107824
04/12/2025;22/12/2025;23/12/2025;Quarto no centro com 2 camas e hidromassagem;R$ 198;Sinop;Diaria;49;8,6;3;Privado;9,3;8,9;9,1;9,1;9,8;9,1;9,2;N;N;hóspedes;-11.8549409;-55.5092702
04/12/2025;22/12/2025;23/12/2025;Hostel 940;R$ 140;Sinop;Diaria;13;7,2;Sem Classificação;Privado;9,2;6,8;7,5;7,1;8,2;7,3;10,0;N;N;domiciliar;-11.8375083;-55.5073435
04/12/2025;22/12/2025;23/12/2025;Plamary Recanto do Sossego;R$ 600;Sinop;Diaria;6;9,5;3;Hotel;9,6;9,6;10,0;9,6;7,9;9,6;7,5;N;N;Apartamento;-11.9037189;-55.4713524
04/12/2025;22/12/2025;23/12/2025;Suíte de luxo no centro com closet e hidromassagem;R$ 240;Sinop;Diaria;47;8,9;Sem Classificação;Privado;9,2;9,0;9,1;9,2;9,7;9,3;6,9;N;N;domiciliar;-11.854819226202;-55.509250712529
04/12/2025;22/12/2025;23/12/2025;Kitnet cantinho do parque;R$ 225;Sinop;Diaria;6;9,8;Sem Classificação;Privado;10,0;9,6;9,6;10,0;9,2;10,0;0.0;N;N;Apartamento;-11.825677;-55.501622
04/12/2025;22/12/2025;23/12/2025;Apt estiloso;R$ 234;Sinop;Diaria;5;10;Sem Classificação;Privado;9,5;9,5;9,5;9,5;10,0;9,5;0.0;N;N;Apartamento;-11.8367093455821;-55.5119737809148
04/12/2025;22/12/2025;23/12/2025;Hotel Pousada Real;R$ 273;Sinop;Diaria;19;8,3;3;Hotel;8,4;8,0;8,1;8,2;8,5;7,2;10,0;N;N;Hotel;-11.855049149077098;-55.49412915645462
04/12/2025;22/12/2025;23/12/2025;Apartamento em Sinop 8M;R$ 178;Sinop;Diaria;2;10;Sem Classificação;Privado;10,0;10,0;10,0;10,0;10,0;10,0;0.0;N;N;Apartamento;-11.8336584;-55.4954518
04/12/2025;22/12/2025;23/12/2025;Casa Serena;R$ 489;Sinop;Diaria;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;temporada;-11.8366538;-55.5329897
04/12/2025;22/12/2025;23/12/2025;Residecial Málaga 01;R$ 264;Sinop;Diaria;24;9,4;3;Privado;8,8;9,2;9,1;9,1;8,4;9,1;8,8;N;N;temporada;-11.8967796603593;-55.4732540382752
04/12/2025;22/12/2025;23/12/2025;casa grande e confortavel;R$ 649;Sinop;Diaria;10;8,6;3;Privado;7,8;9,7;9,5;8,9;7,7;8,9;0.0;N;N;temporada;-11.8875657;-55.5236737
04/12/2025;22/12/2025;23/12/2025;Casa Mobiliada com Piscina;R$ 560;Sinop;Diaria;15;9,7;Sem Classificação;Privado;9,7;9,7;9,9;9,7;9,4;9,1;0.0;N;N;temporada;-11.8839473008812;-55.5237375250241
04/12/2025;22/12/2025;23/12/2025;Casa prática bem localizada;R$ 198;Sinop;Diaria;1;10;Sem Classificação;Privado;10,0;10,0;10,0;10,0;10,0;10,0;0.0;N;N;temporada;-11.8702455;-55.5158083
04/12/2025;22/12/2025;23/12/2025;Conforto e ótima localização, proxima da BR e centro;R$ 275;Sinop;Diaria;5;9,8;3;Privado;9,4;10,0;9,5;10,0;10,0;10,0;0.0;N;N;Apartamento;-11.830128160570075;-55.50143952363258
04/12/2025;22/12/2025;23/12/2025;Apartamento novo no centro de Sinop!;R$ 359;Sinop;Diaria;4;10;3;Privado;9,4;10,0;10,0;10,0;10,0;9,4;0.0;N;N;Apartamento;-11.8654644913665;-55.5039728331475
04/12/2025;22/12/2025;23/12/2025;Casa Mobiliada Itaubas com ar condicionado;R$ 650;Sinop;Diaria;15;9,7;Sem Classificação;Privado;9,8;9,7;9,9;9,9;9,3;9,4;0.0;N;N;temporada;-11.8808263;-55.5192621
04/12/2025;22/12/2025;23/12/2025;Perto da área central;R$ 304;Sinop;Diaria;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;temporada;-11.8389577091718;-55.534505053279
04/12/2025;22/12/2025;23/12/2025;Apartamento em bairro nobre com garagem;R$ 158;Sinop;Diaria;3;7,0;3;Privado;7,5;7,5;7,5;7,5;7,5;7,5;0.0;N;N;Apartamento;-11.8393043;-55.5373369
04/12/2025;22/12/2025;23/12/2025;Plaza Hotel Sinop;R$ 299;Sinop;Diaria;5;6,2;3;Hotel;8,0;5,5;6,0;6,0;9,0;4,5;0.0;N;N;Hotel;-11.8648947950423;-55.5017662354431
04/12/2025;22/12/2025;23/12/2025;Hostel 940;R$ 99;Sinop;Diaria;21;8,6;Sem Classificação;Privado;9,2;8,1;8,3;8,4;8,8;8,4;10,0;N;N;Hostel;-11.8375083;-55.5073435
04/12/2025;22/12/2025;23/12/2025;Casa para locação de temporada em Sinop;R$ 658;Sinop;Diaria;2;9,5;Sem Classificação;Privado;10,0;10,0;10,0;10,0;8,8;10,0;0.0;N;N;Apartamento;-11.9030918;-55.4791916
04/12/2025;22/12/2025;23/12/2025;Apartamento Oliveira;R$ 241;Sinop;Diaria;2;9,5;3;Hotel;10,0;10,0;10,0;10,0;8,8;10,0;0.0;N;N;Apartamento;-11.836485678583475;-55.5474678034546
